TID;Target;Stance;Sentiment;Intent
634370652624027;Galatasaray;Favor;Positive;Support
634377362193416;Galatasaray;Favor;Positive;Support
634381985218187;Galatasaray;Favor;Neither;Support
634390350044508;Galatasaray;Favor;Neither;Support
634392508508803;Galatasaray;Favor;Positive;Support
634395794456584;Galatasaray;Favor;Positive;Support
634401607300575;Galatasaray;Favor;Positive;Support
634403606763077;Galatasaray;Favor;Positive;Support
634404749580869;Galatasaray;Favor;Positive;Support
634712364923920;Galatasaray;Favor;Positive;Support
634715595116822;Galatasaray;Favor;Positive;Support
634719099810115;Galatasaray;Favor;Positive;Support
634719429113323;Galatasaray;Favor;Positive;Support
634721070763909;Galatasaray;Favor;Neither;Support
634723441258692;Galatasaray;Favor;Positive;Support
634725098684084;Galatasaray;Favor;Neither;Ridicule
634725692404551;Galatasaray;Favor;Positive;Support
634726028489977;Galatasaray;Favor;Neither;Support
634726570347900;Galatasaray;Favor;Positive;Support
634728219829248;Galatasaray;Favor;Positive;Support
634730599987716;Galatasaray;Favor;Positive;Support
634733862346719;Galatasaray;Favor;Neither;Support
634737931505266;Galatasaray;Favor;Positive;Support
634741881520451;Galatasaray;Favor;Positive;Support
634742710323314;Galatasaray;Favor;Positive;Support
634748767690981;Galatasaray;Favor;Positive;Support
634752120567267;Galatasaray;Favor;Positive;Support
634758226941243;Galatasaray;Favor;Positive;Support
634758690684436;Galatasaray;Favor;Positive;Support
634770469300908;Galatasaray;Favor;Positive;Support
635078788687249;Galatasaray;Favor;Positive;Support
635080566921166;Galatasaray;Favor;Positive;Cheer
635082343288578;Galatasaray;Favor;Positive;Cheer
635082784336429;Galatasaray;Favor;Positive;Cheer
635083930652291;Galatasaray;Favor;Positive;Cheer
635085550660272;Galatasaray;Favor;Positive;Support
635093805209927;Galatasaray;Favor;Positive;Support
635094014849642;Galatasaray;Favor;Neither;Support
635098530588291;Galatasaray;Favor;Positive;Support
635100921375137;Galatasaray;Favor;Positive;Support
635111528379883;Galatasaray;Favor;Neither;Support
635115642606231;Galatasaray;Favor;Positive;Support
635120508732874;Galatasaray;Favor;Positive;Support
635121487071059;Galatasaray;Favor;Positive;Support
635126486916333;Galatasaray;Favor;Negative;Support
635126638976573;Galatasaray;Favor;Positive;Support
635129871296020;Galatasaray;Favor;Positive;Support
635131106757623;Galatasaray;Favor;Positive;Support
635131552956055;Galatasaray;Favor;Positive;Support
635134281417945;Galatasaray;Favor;Positive;Support
635134463069028;Galatasaray;Favor;Positive;Support
635135011675619;Galatasaray;Favor;Positive;Support
635135121281126;Galatasaray;Favor;Positive;Support
635136268402323;Galatasaray;Favor;Positive;Support
635450841273626;Galatasaray;Favor;Positive;Good-Wishes
635452809442394;Galatasaray;Favor;Positive;Support
635464503338106;Galatasaray;Favor;Positive;Support
635465074665222;Galatasaray;Favor;Negative;Ridicule
635468049999659;Galatasaray;Favor;Positive;Support
635469294273458;Galatasaray;Favor;Positive;Support
635480790273495;Galatasaray;Favor;Negative;Support
635482771218132;Galatasaray;Favor;Positive;Support
635482923236487;Galatasaray;Favor;Positive;Support
635489936947445;Galatasaray;Favor;Positive;Support
635490098503659;Galatasaray;Favor;Positive;Support
635492787077709;Galatasaray;Favor;Positive;Support
635797000496263;Galatasaray;Favor;Positive;Support
635798598853246;Galatasaray;Favor;Positive;Support
635799517175128;Galatasaray;Favor;Positive;Support
635801092811563;Galatasaray;Favor;Positive;Cheer
635801483611631;Galatasaray;Favor;Positive;Support
635803276496236;Galatasaray;Favor;Positive;Support
635805712493375;Galatasaray;Favor;Positive;Support
635805781665910;Galatasaray;Favor;Negative;Ridicule
635810049168961;Galatasaray;Favor;Positive;Support
635813229864816;Galatasaray;Favor;Neither;Support
635813728911536;Galatasaray;Favor;Neither;Support
635814487468150;Galatasaray;Favor;Positive;Support
635816436460597;Galatasaray;Favor;Positive;Support
635819537464721;Galatasaray;Favor;Positive;Support
635820826080751;Galatasaray;Favor;Positive;Cheer
635821006679068;Galatasaray;Favor;Positive;Support
635822235715022;Galatasaray;Favor;Positive;Support
635822952215379;Galatasaray;Favor;Positive;Support
635823595151826;Galatasaray;Favor;Positive;Support
635826609136750;Galatasaray;Favor;Positive;Support
635837303861198;Galatasaray;Favor;Positive;Support
635837350157922;Galatasaray;Favor;Neither;Support
635839490867752;Galatasaray;Favor;Positive;Support
635843213727793;Galatasaray;Favor;Positive;Support
635845602853679;Galatasaray;Favor;Positive;Support
635845603801604;Galatasaray;Favor;Positive;Support
635847042129100;Galatasaray;Favor;Positive;Support
635847138937843;Galatasaray;Favor;Positive;Cheer
635854793349681;Galatasaray;Favor;Neither;Support
636172802245152;Galatasaray;Favor;Positive;Support
636176422202134;Galatasaray;Favor;Positive;Support
636177651011592;Galatasaray;Favor;Positive;Support
636188476891918;Galatasaray;Favor;Positive;Support
636190114952183;Galatasaray;Favor;Neither;Support
636197760233009;Galatasaray;Favor;Positive;Support
636197770697687;Galatasaray;Favor;Positive;Support
636197879053426;Galatasaray;Favor;Neither;Support
636203629079306;Galatasaray;Favor;Positive;Support
636207807356870;Galatasaray;Favor;Positive;Support
636207916710764;Galatasaray;Favor;Positive;Cheer
636532168274128;Galatasaray;Favor;Positive;Cheer
636548558141923;Galatasaray;Favor;Negative;Ridicule
636565809154891;Galatasaray;Favor;Positive;Support
636567132898205;Galatasaray;Favor;Positive;Support
636568042634395;Galatasaray;Favor;Positive;Support
636570059796795;Galatasaray;Favor;Neither;Cheer
636572696491462;Galatasaray;Favor;Positive;Support
636574831908126;Galatasaray;Favor;Positive;Support
636576613333925;Galatasaray;Favor;Positive;Support
636884459107823;Galatasaray;Favor;Neither;Support
636885855727190;Galatasaray;Favor;Positive;Good-Wishes
636887623064227;Galatasaray;Favor;Negative;Ridicule
636890899751010;Galatasaray;Favor;Positive;Support
636895108495974;Galatasaray;Favor;Positive;Support
636898642213928;Galatasaray;Favor;Negative;Good-Wishes
636899167630163;Galatasaray;Favor;Positive;Support
636908693372715;Galatasaray;Favor;Positive;Support
636908818333593;Galatasaray;Favor;Positive;Support
636915936746938;Galatasaray;Favor;Positive;Support
636919936502366;Galatasaray;Favor;Positive;Support
636932305097986;Galatasaray;Favor;Positive;Support
636932537646993;Galatasaray;Favor;Positive;Support
636933031744401;Galatasaray;Favor;Positive;Good-Wishes
636938610357465;Galatasaray;Favor;Positive;Support
636938634147594;Galatasaray;Favor;Positive;Support
636938642653622;Galatasaray;Favor;Positive;Support
636938701805891;Galatasaray;Favor;Positive;Good-Wishes
636938788737024;Galatasaray;Favor;Positive;Good-Wishes
636938810715189;Galatasaray;Favor;Positive;Good-Wishes
636938840700264;Galatasaray;Favor;Positive;Support
636938936569434;Galatasaray;Favor;Positive;Support
636938994295697;Galatasaray;Favor;Positive;Good-Wishes
636939123195031;Galatasaray;Favor;Positive;Good-Wishes
636939172117397;Galatasaray;Favor;Negative;Cheer
636939217638150;Galatasaray;Favor;Positive;Support
637246354725728;Galatasaray;Favor;Positive;Support
637258675766362;Galatasaray;Favor;Positive;Support
637259653999632;Galatasaray;Favor;Negative;Ridicule
637279734712373;Galatasaray;Favor;Neither;Support
637296421968965;Galatasaray;Favor;Negative;Ridicule
637296510997237;Galatasaray;Favor;Positive;Support
637298274865647;Galatasaray;Favor;Positive;Support
637300152097705;Galatasaray;Favor;Positive;Support
637306055781941;Galatasaray;Favor;Positive;Support
637307129041395;Galatasaray;Favor;Positive;Good-Wishes
637608429679452;Galatasaray;Favor;Positive;Support
637652190270779;Galatasaray;Favor;Positive;Support
637652446769246;Galatasaray;Favor;Positive;Support
637657408567967;Galatasaray;Favor;Positive;Support
637657452457160;Galatasaray;Favor;Positive;Cheer
637658025868820;Galatasaray;Favor;Negative;Ridicule
637661966350290;Galatasaray;Favor;Positive;Support
637663398889717;Galatasaray;Favor;Positive;Support
637663540099289;Galatasaray;Favor;Positive;Support
637663875895328;Galatasaray;Favor;Positive;Support
637666635025920;Galatasaray;Favor;Positive;Cheer
637666766672556;Galatasaray;Favor;Positive;Cheer
637666863263129;Galatasaray;Favor;Neither;Support
637666898604335;Galatasaray;Favor;Positive;Cheer
637667793693986;Galatasaray;Favor;Positive;Good-Wishes
637669002127478;Galatasaray;Favor;Positive;Support
637670238650265;Galatasaray;Favor;Positive;Good-Wishes
638019544066469;Galatasaray;Favor;Positive;Support
638019636114665;Galatasaray;Favor;Positive;Cheer
638020382465912;Galatasaray;Favor;Positive;Support
638022074985000;Galatasaray;Favor;Positive;Cheer
638382015738417;Galatasaray;Favor;Positive;Cheer
638382372254183;Galatasaray;Favor;Positive;Support
638701990189617;Galatasaray;Favor;Positive;Support
638723524656562;Galatasaray;Favor;Positive;Support
638744610756542;Galatasaray;Favor;Positive;Support
639064231946682;Galatasaray;Favor;Positive;Support
639069049058656;Galatasaray;Favor;Negative;Ridicule
639073019072245;Galatasaray;Favor;Positive;Support
639091074443644;Galatasaray;Favor;Positive;Support
639091583367938;Galatasaray;Favor;Neither;Support
639093994933370;Galatasaray;Favor;Positive;Support
633657249035124;Galatasaray;Against;Negative;Ridicule
633658113552465;Galatasaray;Against;Negative;Criticism
633660525411454;Galatasaray;Against;Negative;Criticism
633660639278403;Galatasaray;Against;Negative;Criticism
633663500666208;Galatasaray;Against;Negative;Ridicule
633669035914346;Galatasaray;Against;Negative;Ridicule
633670475135193;Galatasaray;Against;Neither;Support
633670605745856;Galatasaray;Against;Negative;Criticism
633672903221997;Galatasaray;Against;Negative;Ridicule
633673990352052;Galatasaray;Against;Negative;Insult
633674206820081;Galatasaray;Against;Negative;Ridicule
633676696600870;Galatasaray;Against;Negative;Support
633677253705080;Galatasaray;Against;Negative;Criticism
633679325678731;Galatasaray;Against;Negative;Criticism
633679621846904;Galatasaray;Against;Negative;Insult
633679660157673;Galatasaray;Against;Negative;Criticism
633684785190322;Galatasaray;Against;Negative;Ridicule
633688586395746;Galatasaray;Against;Neither;Support
633689960919470;Galatasaray;Against;Negative;Ridicule
633691029787553;Galatasaray;Against;Negative;Ridicule
633693387208683;Galatasaray;Against;Negative;Ridicule
633693822581633;Galatasaray;Against;Negative;Criticism
633698261241565;Galatasaray;Against;Negative;Criticism
633698649164378;Galatasaray;Against;Negative;Criticism
633701285469007;Galatasaray;Against;Negative;Criticism
633701622103846;Galatasaray;Against;Negative;Ridicule
633703038218338;Galatasaray;Against;Negative;Ridicule
633705254576631;Galatasaray;Against;Negative;Ridicule
633705271106342;Galatasaray;Against;Negative;Ridicule
633706783010365;Galatasaray;Against;Negative;Ridicule
633708348249128;Galatasaray;Against;Negative;Criticism
633708549097525;Galatasaray;Against;Negative;Ridicule
633708920889057;Galatasaray;Against;Negative;Ridicule
633990419911733;Galatasaray;Against;Negative;Criticism
633991910621859;Galatasaray;Against;Negative;Criticism
633993564020711;Galatasaray;Against;Negative;Criticism
633996380906852;Galatasaray;Against;Negative;Insult
634026151506235;Galatasaray;Against;Negative;Ridicule
634034295657603;Galatasaray;Against;Negative;Insult
634034402109038;Galatasaray;Against;Negative;Criticism
634034524553379;Galatasaray;Against;Negative;Criticism
634359011933061;Galatasaray;Against;Negative;Criticism
634370995755843;Galatasaray;Against;Negative;Insult
634372573212639;Galatasaray;Against;Negative;Criticism
634375607124627;Galatasaray;Against;Negative;Insult
634375634488311;Galatasaray;Against;Negative;Criticism
634376128208224;Galatasaray;Against;Negative;Criticism
634376166602899;Galatasaray;Against;Negative;Criticism
634383810138869;Galatasaray;Against;Neither;Support
634386247562215;Galatasaray;Against;Neither;Criticism
634397177142509;Galatasaray;Against;Negative;Criticism
634397566638137;Galatasaray;Against;Negative;Criticism
634728519193468;Galatasaray;Against;Negative;Criticism
634735181920927;Galatasaray;Against;Negative;Criticism
634736512144384;Galatasaray;Against;Negative;Criticism
634741889783189;Galatasaray;Against;Negative;Criticism
634743870551662;Galatasaray;Against;Negative;Criticism
634749840971464;Galatasaray;Against;Negative;Ridicule
634761960266014;Galatasaray;Against;Negative;Ridicule
634768108327186;Galatasaray;Against;Negative;Ridicule
635084739838394;Galatasaray;Against;Negative;Ridicule
635089465275490;Galatasaray;Against;Negative;Insult
635090805615628;Galatasaray;Against;Negative;Criticism
635091541787287;Galatasaray;Against;Negative;Criticism
635092997357600;Galatasaray;Against;Negative;Criticism
635093723014123;Galatasaray;Against;Negative;Criticism
635095747176845;Galatasaray;Against;Negative;Ridicule
635098529908834;Galatasaray;Against;Negative;Criticism
635103079050952;Galatasaray;Against;Negative;Ridicule
635103692354486;Galatasaray;Against;Negative;Criticism
635106907049598;Galatasaray;Against;Negative;Insult
635107285606506;Galatasaray;Against;Negative;Criticism
635108876057210;Galatasaray;Against;Negative;Criticism
635109746689896;Galatasaray;Against;Negative;Criticism
635116507375239;Galatasaray;Against;Negative;Criticism
635118732155686;Galatasaray;Against;Negative;Criticism
635119022749712;Galatasaray;Against;Negative;Criticism
635120434095214;Galatasaray;Against;Negative;Insult
635120947620618;Galatasaray;Against;Negative;Criticism
635129037732622;Galatasaray;Against;Negative;Criticism
635133324357431;Galatasaray;Against;Negative;Criticism
635133716361293;Galatasaray;Against;Neither;Ridicule
635439988906291;Galatasaray;Against;Negative;Ridicule
635453105036001;Galatasaray;Against;Negative;Insult
635453308262580;Galatasaray;Against;Negative;Criticism
635466565677355;Galatasaray;Against;Negative;Criticism
635476819957915;Galatasaray;Against;Negative;Criticism
635485218653270;Galatasaray;Against;Negative;Criticism
635487921093615;Galatasaray;Against;Neither;Support
635492901397635;Galatasaray;Against;Negative;Criticism
635834614452494;Galatasaray;Against;Negative;Ridicule
635837377022427;Galatasaray;Against;Negative;Support
635853646857695;Galatasaray;Against;Negative;Ridicule
636158906671202;Galatasaray;Against;Negative;Criticism
636159067992522;Galatasaray;Against;Negative;Criticism
636159423510126;Galatasaray;Against;Negative;Criticism
636160103239012;Galatasaray;Against;Negative;Criticism
636160412212400;Galatasaray;Against;Negative;Criticism
636160544207192;Galatasaray;Against;Negative;Criticism
636160809907916;Galatasaray;Against;Negative;Criticism
636161021477044;Galatasaray;Against;Negative;Insult
636163943858339;Galatasaray;Against;Negative;Criticism
636164128126697;Galatasaray;Against;Negative;Criticism
636165211276378;Galatasaray;Against;Negative;Criticism
636165220394749;Galatasaray;Against;Negative;Criticism
636165493804634;Galatasaray;Against;Negative;Criticism
636165726089445;Galatasaray;Against;Negative;Criticism
636166677177217;Galatasaray;Against;Negative;Criticism
636166689785290;Galatasaray;Against;Negative;Insult
636167017561739;Galatasaray;Against;Negative;Insult
636168890834386;Galatasaray;Against;Negative;Ridicule
636169064864436;Galatasaray;Against;Negative;Criticism
636169273216471;Galatasaray;Against;Negative;Ridicule
636170324183265;Galatasaray;Against;Negative;Criticism
636172099997073;Galatasaray;Against;Negative;Criticism
636172514113245;Galatasaray;Against;Negative;Criticism
636177801268359;Galatasaray;Against;Negative;Criticism
636180542204051;Galatasaray;Against;Negative;Ridicule
636182220345110;Galatasaray;Against;Negative;Insult
636182533697368;Galatasaray;Against;Negative;Insult
636184813368668;Galatasaray;Against;Negative;Ridicule
636188836285009;Galatasaray;Against;Negative;Criticism
636188862251991;Galatasaray;Against;Negative;Criticism
636190090688102;Galatasaray;Against;Negative;Criticism
636190239229394;Galatasaray;Against;Negative;Insult
636191913364844;Galatasaray;Against;Negative;Criticism
636192501565661;Galatasaray;Against;Negative;Criticism
636194388859863;Galatasaray;Against;Negative;Criticism
636195066269319;Galatasaray;Against;Negative;Criticism
636206213219373;Galatasaray;Against;Negative;Criticism
636207310579363;Galatasaray;Against;Negative;Ridicule
636207812809490;Galatasaray;Against;Negative;Criticism
636208063498817;Galatasaray;Against;Negative;Ridicule
636208655407390;Galatasaray;Against;Positive;Support
636209414979080;Galatasaray;Against;Neither;Criticism
636210733164929;Galatasaray;Against;Negative;Ridicule
636211521484361;Galatasaray;Against;Neither;Ridicule
636212593535905;Galatasaray;Against;Negative;Insult
636212665417924;Galatasaray;Against;Negative;Criticism
636217350757449;Galatasaray;Against;Negative;Criticism
636219207785517;Galatasaray;Against;Negative;Criticism
636220123813179;Galatasaray;Against;Negative;Ridicule
636523491710365;Galatasaray;Against;Negative;Criticism
636528101502111;Galatasaray;Against;Negative;Ridicule
636529891224199;Galatasaray;Against;Neither;Ridicule
636530097441402;Galatasaray;Against;Negative;Ridicule
636533520538697;Galatasaray;Against;Negative;Criticism
636533846331277;Galatasaray;Against;Negative;Insult
636536199717457;Galatasaray;Against;Negative;Criticism
636536565297250;Galatasaray;Against;Negative;Dislike
636536658217840;Galatasaray;Against;Negative;Criticism
636537126327291;Galatasaray;Against;Negative;Insult
636544950163873;Galatasaray;Against;Negative;Criticism
636546458917990;Galatasaray;Against;Negative;Criticism
636547700314505;Galatasaray;Against;Positive;Support
636550547156410;Galatasaray;Against;Negative;Ridicule
636556335857934;Galatasaray;Against;Negative;Criticism
636563785201942;Galatasaray;Against;Negative;Insult
636564919203270;Galatasaray;Against;Negative;Dislike
636579046411927;Galatasaray;Against;Negative;Dislike
636579287009730;Galatasaray;Against;Negative;Ridicule
636580013156995;Galatasaray;Against;Positive;Ridicule
636580130383622;Galatasaray;Against;Negative;Criticism
636580141595000;Galatasaray;Against;Negative;Criticism
636580736674451;Galatasaray;Against;Negative;Criticism
636582066658910;Galatasaray;Against;Positive;Ridicule
636894177578602;Galatasaray;Against;Negative;Ridicule
636896511595556;Galatasaray;Against;Neither;Ridicule
636900583014813;Galatasaray;Against;Negative;Criticism
636915562673754;Galatasaray;Against;Negative;Ridicule
636917606214205;Galatasaray;Against;Negative;Criticism
636934212671696;Galatasaray;Against;Negative;Ridicule
636938596700831;Galatasaray;Against;Negative;Insult
636938767236997;Galatasaray;Against;Negative;Insult
636938769904611;Galatasaray;Against;Neither;Criticism
636938830260609;Galatasaray;Against;Neither;Criticism
636938861483020;Galatasaray;Against;Negative;Ridicule
636939026612797;Galatasaray;Against;Negative;Insult
636939083353313;Galatasaray;Against;Negative;Insult
636939193097289;Galatasaray;Against;Negative;Ridicule
636939228593680;Galatasaray;Against;Negative;Ridicule
636939237473034;Galatasaray;Against;Negative;Ridicule
637248428351881;Galatasaray;Against;Negative;Dislike
637248973376516;Galatasaray;Against;Negative;Criticism
637249241568673;Galatasaray;Against;Negative;Criticism
637250548639600;Galatasaray;Against;Negative;Ridicule
637251525606305;Galatasaray;Against;Negative;Dislike
637258539346608;Galatasaray;Against;Negative;Criticism
637259441985978;Galatasaray;Against;Negative;Criticism
637262082698801;Galatasaray;Against;Negative;Dislike
637265430399328;Galatasaray;Against;Negative;Criticism
637268774639505;Galatasaray;Against;Negative;Criticism
637273875483619;Galatasaray;Against;Negative;Insult
637274037043994;Galatasaray;Against;Negative;Ridicule
637278822333853;Galatasaray;Against;Negative;Ridicule
637279090567983;Galatasaray;Against;Negative;Insult
637287003193757;Galatasaray;Against;Negative;Dislike
637290920807923;Galatasaray;Against;Negative;Insult
637302011671781;Galatasaray;Against;Neither;Support
637984122078670;Galatasaray;Against;Neither;Ridicule
637992250526593;Galatasaray;Against;Negative;Ridicule
638340594817990;Galatasaray;Against;Negative;Ridicule
638378573066334;Galatasaray;Against;Negative;Criticism
638383373375905;Galatasaray;Against;Negative;Criticism
638383787672498;Galatasaray;Against;Negative;Criticism
638696847591251;Galatasaray;Against;Negative;Criticism
638707878430425;Galatasaray;Against;Negative;Criticism
638714550372691;Galatasaray;Against;Negative;Criticism
638720546461626;Galatasaray;Against;Negative;Criticism
638722123796717;Galatasaray;Against;Negative;Criticism
638722854800986;Galatasaray;Against;Negative;Criticism
638723329839497;Galatasaray;Against;Negative;Criticism
638736979291717;Galatasaray;Against;Negative;Criticism
638740322198159;Galatasaray;Against;Negative;Criticism
638744339397640;Galatasaray;Against;Negative;Insult
638745409163280;Galatasaray;Against;Negative;Criticism
638746895544881;Galatasaray;Against;Negative;Criticism
639083736567558;Galatasaray;Against;Negative;Ridicule
639102270425145;Galatasaray;Against;Negative;Insult
639102968101531;Galatasaray;Against;Negative;Criticism
639104220738813;Galatasaray;Against;Negative;Criticism
639104224261967;Galatasaray;Against;Negative;Ridicule
639104905135935;Galatasaray;Against;Negative;Criticism
639104913696493;Galatasaray;Against;Negative;Criticism
639105039081074;Galatasaray;Against;Negative;Criticism
639105273278431;Galatasaray;Against;Negative;Criticism
639105757825376;Galatasaray;Against;Negative;Criticism
639105919821959;Galatasaray;Against;Negative;Ridicule
639106069730603;Galatasaray;Against;Negative;Criticism
639106252472209;Galatasaray;Against;Negative;Criticism
639106362392363;Galatasaray;Against;Negative;Ridicule
639106408139620;Galatasaray;Against;Negative;Criticism
639106450296545;Galatasaray;Against;Negative;Insult
639106485117714;Galatasaray;Against;Negative;Criticism
639106553077989;Galatasaray;Against;Negative;Criticism
639106678173134;Galatasaray;Against;Negative;Ridicule
639106893198323;Galatasaray;Against;Negative;Ridicule
639106927771930;Galatasaray;Against;Negative;Ridicule
639106957958348;Galatasaray;Against;Negative;Insult
639107055710785;Galatasaray;Against;Negative;Criticism
639107202326884;Galatasaray;Against;Negative;Criticism
639107215241179;Galatasaray;Against;Negative;Criticism
639107232395829;Galatasaray;Against;Negative;Insult
639107340604674;Galatasaray;Against;Negative;Ridicule
639107341644886;Galatasaray;Against;Negative;Criticism
639107465288773;Galatasaray;Against;Negative;Insult
639107504954327;Galatasaray;Against;Negative;Criticism
639107879673430;Galatasaray;Against;Negative;Criticism
639107926767108;Galatasaray;Against;Negative;Criticism
639107935029882;Galatasaray;Against;Negative;Insult
639108007377420;Galatasaray;Against;Negative;Ridicule
639108009730420;Galatasaray;Against;Negative;Criticism
639108069759299;Galatasaray;Against;Negative;Criticism
639108118400647;Galatasaray;Against;Negative;Insult
639108204673269;Galatasaray;Against;Negative;Ridicule
639108378120318;Galatasaray;Against;Negative;Insult
639108443060744;Galatasaray;Against;Negative;Insult
639108454653800;Galatasaray;Against;Negative;Criticism
639108488724152;Galatasaray;Against;Negative;Insult
639108560463527;Galatasaray;Against;Negative;Ridicule
639108858284216;Galatasaray;Against;Negative;Insult
639108881390665;Galatasaray;Against;Negative;Criticism
639108925225349;Galatasaray;Against;Negative;Criticism
639108985384235;Galatasaray;Against;Negative;Ridicule
639109060122529;Galatasaray;Against;Negative;Criticism
639109089377841;Galatasaray;Against;Negative;Criticism
639109103823007;Galatasaray;Against;Negative;Criticism
639109200057094;Galatasaray;Against;Negative;Insult
633654268143267;Fenerbahçe;Favor;Positive;Support
633654550562500;Fenerbahçe;Favor;Negative;Good-Wishes
633655428442902;Fenerbahçe;Favor;Neither;Support
633656717339926;Fenerbahçe;Favor;Positive;Good-Wishes
633657502140383;Fenerbahçe;Favor;Neither;Support
633658253256335;Fenerbahçe;Favor;Positive;Support
633662966416715;Fenerbahçe;Favor;Positive;Support
633664621711347;Fenerbahçe;Favor;Positive;Support
633666577137827;Fenerbahçe;Favor;Negative;Ridicule
633666684222578;Fenerbahçe;Favor;Positive;Support
633667752054640;Fenerbahçe;Favor;Neither;Support
633668739213475;Fenerbahçe;Favor;Positive;Support
633668965529714;Fenerbahçe;Favor;Positive;Support
633669035914346;Fenerbahçe;Favor;Neither;Ridicule
633669120886710;Fenerbahçe;Favor;Positive;Support
633669136250478;Fenerbahçe;Favor;Positive;Cheer
633671142650347;Fenerbahçe;Favor;Positive;Support
633671451065905;Fenerbahçe;Favor;Positive;Support
633671468048601;Fenerbahçe;Favor;Positive;Support
633671488743305;Fenerbahçe;Favor;Positive;Support
633671511728070;Fenerbahçe;Favor;Positive;Support
633671513170948;Fenerbahçe;Favor;Positive;Support
